S0001	Structural dynamics are fundamental to protein functions and mutation effects.
S0180	Overall, despite being pretrained exclusively on wild-type sequences and without reliance on evolutionary information, SeqDance is able to make meaningful predictions about mutation effect on protein stability, even for proteins with no homologs in the training set.
S0181	ESMDance Enhances Prediction of Mutation Effect on Protein Stability.
S0182	While both ESM2-35M, which leverages evolutionary properties, can predict mutation effect on protein stability, their individual performance remains modest at a model size of 35 million parameters.
S0183	To harness the strengths of both approaches, we developed ESMDance that integrates evolutionary and dynamic information, also with 35 million parameters.
S0184	Using the zero-shot approach illustrated in Figure 4A, ESMDance achieves a median Spearman correlation of 0.46 across 412 proteins (Figure 4F), significantly outperforming both ESM2-35M (0.33) and SeqDance (0.24).
S0185	Remarkably, ESMDance also matches or surpasses SaProt35M (23) (0.45; SI Appendix, Figure S6D), which has similar model architecture but uses structure tokens as additional input, and much larger language models, including ESM2-650M (0.46; SI Appendix, Figure S6A) and ESM2-15B (0.43; SI Appendix, Figure S6B).
S0186	Also, ESMDance shows robust generalization: its performance is independent of the presence of homologs in its training set or in UniRef50 (Figure 4 F and G and SI Appendix, Figure S6E).
S0187	We note that proteins without homologs in UniRef50 also lack homologs in the ESMDance training set.
S0188	Thus, the performance gains observed for these proteins are not attributable to the presence of their dynamic data in the ESMDance training.
S0189	These models’ zero-shot predictions are correlated with ΔΔG, but not on the same physical scale.
S0190	To align them with ΔΔG, we fitted supervised linear regression models.
S0191	For each protein, 50% of mutations were randomly sampled for training and the remaining 50% were used for testing.
S0192	Linear regression models of SeqDance- and ESMDance-predicted dynamic property changes (23 relative changes, Figure 4B) achieve median MAEs of 0.63 and 0.54 kcal/mol and median Spearman correlations of 0.44 and 0.58, respectively, on test mutations from 412 proteins (Figure 4 H and I), significantly outperforming their respective zero-shot correlations.
S0193	As a baseline, a linear regression model using zero-shot predictions from three ESM2 models (35M, 650M, and 15B) achieves a median MAE of 0.56 kcal/mol, better than SeqDance but worse than ESMDance (Figure 4 H and I).
S0194	We further trained regression models using predictions from multiple methods as inputs.
S0195	Adding SaProt-35M predictions to ESM2 decreases the MAE to 0.53 kcal/mol, while adding SeqDance or ESMDance predictions yields larger improvements: ESM2 + SeqDance reaches 0.52 kcal/mol, ESM2 + ESMDance reaches 0.48 kcal/mol, and combining ESM2, SeqDance, and ESMDance achieves the best performance with a median MAE of 0.47 kcal/mol and a median Spearman correlation of 0.70 (Figure 4 H and I).
S0196	Overall, these results shows that by integrating evolu tionary information learned by ESM2 with protein dynamic prop erties, ESMDance achieves superior performance in predicting mutation effect on protein stability.
S0197	Also, our models provide additional information to evolution-based models, and their combination yields even greater predictive power.
S0198	Biophysics-Based Pretraining Improves Mutation Effect Prediction for Designed and Viral Proteins.
S0199	One limitation of ESM2 is that the evolutionary information it learns from natural proteins may fail to generalize to de novo designed proteins.
S0200	To evaluate whether ESMDance can address this limitation, we analyzed a subset of 135 designed proteins that lack homologs in both UniRef50 and the SeqDance/ESMDance training set.
S0201	ESM235M, -650M, and -15B achieve median Spearman correlations of 0.21, 0.32, and 0.29, respectively—significantly lower than their average performances (Figures 4E and 5A and SI Appendix, Figure S6 A and B).
S0202	In contrast, ESMDance achieves a median Spearman correlation of 0.46, much outperforming SeqDance (0.20), SaProt-35M (0.06), and all ESM2 models (Figure 5A).
S0203	Further analysis at the individual protein level revealed that the performances of different ESM2 models are highly correlated (Figure 5B).
S0204	In contrast, both SeqDance and ESMDance exhibit orthogonal performance patterns to ESM2 (Figure 5 C and D), with ESMDance showing significant improvements for most proteins compared to ESM2-35M (Figure 5D).
S0205	Also, we visualized zero-shot predictions for two designed proteins (highlighted in Figure 5 B–D).
S0206	The first, r10_572_TrROS_ Hall (Figure 5E), was designed using TrRosetta spurious invented structure (43).
S0207	Both SeqDance and ESMDance achieve significantly higher correlations (0.52 for both) compared to the ESM2 models (0.18, 0.25, and 0.20 for ESM2-35M, -650M, and -15B, respectively).
S0208	The second, GG|run4_0284_0002 (Figure 5F), was designed using the EEHH method (43).
S0209	Here, both ESM2 and SeqDance perform poorly (0.02, 0.09, −0.02, and 0.18 for ESM2-35M, -650M, -15B, and SeqDance, respectively), whereas ESMDance achieves a markedly higher correlation of 0.53.
S0210	Linear regression models show similar results on test mutations of two proteins (SI Appendix, Figure S7).
S0211	This result underscores the advantage of ESMDance in directly integrat ing dynamic properties and evolutionary information during model training, outperforming separate predictions from two models.
S0212	Additionally, we benchmarked several established structurebased models.
S0213	These included the inverse-folding model Protein MPNN (44), which predicts sequence from structure and whose predicted sequence likelihood correlates with mutation effects on stability, as well as the biophysics-based models Rosetta (45) and FoldX (46) (see Methods for details), which directly estimate muta tion ΔΔG values.
S0214	We note that using the structure as input inher ently simplifies stability prediction, since mutations in buried sites typically have larger effects, whereas surface mutations tend to have smaller effects (Figure 5G).
S0215	We first evaluated Spearman correlation, ESMDance zero-shot outperforms ProteinMPNN but performs below FoldX and Rosetta, while ESMDance linear regression per forms comparably to FoldX and Rosetta (Figure 5H).
S0216	We also assessed the mean absolute error (MAE), and our linear regression models yield much lower MAE than both FoldX and Rosetta raw ΔΔG values.
S0217	After calibrating FoldX and Rosetta raw ΔΔG values with experimental measurements using linear regression, their MAE becomes comparable to—but still slightly higher than—that of ESMDance linear regression model (Figure 5H).
S0218	Overall, these results suggest that our linear regression models can serve as an alternative to traditional biophysics-based models while being orders of magnitude faster and requiring only sequence input.
S0219	Besides designed proteins, we also examined their performances on viral proteins, which evolve rapidly and are underrepresented in UniProt.
S0220	For deep mutational scanning experiments in ProteinGYM (47), ESM2 models and SaProt-35M consistently perform worse on viral proteins compared to the other proteins regardless of model size (SI Appendix, Figure S8).
S0221	ESM2-35M achieves a median Spearman correlation around 0 on viral proteins (SI Appendix, Figure S8).
S0222	For 23 viral proteins shorter than 1,024 residues, encompassing 187,902 mutations, SeqDance and ESMDance achieve median Spearman correlations of 0.18 and 0.25, respectively (Figure 5 I and J), using the zero-shot approach in Figure 4A (which may not be the optimal strategy for mutation effects beyond stability, see Discussion).
S0223	They outperform ESM2-35M (0.03) and SaProt-35M (0.14) but are not as good as ESM2-15B (0.36; Figure 5I).
S0224	Figure 2.
S0225	SeqDance’s attention mechanism captures dynamic interactions and comovement in test sets.
S0226	(A–I) For each attention head, Spearman correlation was calculated between attention values and pairwise dynamic properties, top five heads of SeqDance and ESM2-35M are shown.
S0227	(D–I) show results for positively correlated residue pairs.
S0228	The boxplots show the distributions of Spearman correlation on test proteins.
S0229	Figure 3.
S0230	SeqDance’s embeddings encode protein global conformational properties.
S0231	(A–D) Performance comparison of SeqDance (35M parameters), METL, ProSE, and ESM2 (ESMDance embedding is identical to ESM2-35M) in predicting the end-to-end distance of disordered regions (A), asphericity of disordered regions (B), radius of gyration of disordered regions (C) and ordered proteins (D).
S0232	The training and test split was 6:4 with a 20% sequence identity cutoff.
S0233	Linear regression model was trained to predict conformational property using the first 200 principal components of mean-pooled embeddings from each method as input.
S0234	Results presented are the distributions of the mean absolute error of 20 independent repeats.
S0235	(E–G) Comparison of conformational properties of test IDRs obtained from coarse-grained MD simulations versus predictions from SeqDance embeddings.
S0236	(H) Comparison of radius of gyration of test ordered proteins obtained from PDB structure versus predictions from SeqDance embeddings.
S0237	Results in (E–H) are predictions from linear regression models using the full embeddings rather than the first 200 principal components.
S0238	Each dot represents a test protein, the blue line indicates the linear fit, and the dashed black line represents the line of equality, marginal histogram shows the distribution of data.
S0239	Figure 4.
S0240	Predicting mutation effect on protein folding stability.
S0241	(A) method of using SeqDance (35M parameters) or ESMDance (35M parameters) to predict mutation effects.
S0242	(B) Distribution of zero-shot prediction performance (Spearman correlation) on 412 proteins of different dynamic properties; the random model (color gray) represents the randomly initialized model prior to pretraining.
S0243	SASA mean, std: mean and SD of SASA.
S0244	NMA properties 1, 2, 3: properties calculated from low-, median-, and high-frequency normal modes. vdw: van der Waals interaction; hbbb: backbone-to-backbone hydrogen bond; hbsb: sidechain-to-backbone hydrogen bond; hbss: side-chain-to-side-chain hydrogen bond; hp: hydrophobic interaction; sb: salt bridge; pc: Pi–cation interaction; ps: Pi–stacking interaction; ts: T-stacking interaction.
S0245	(C) SeqDance zero-shot prediction performance split by the most similar proteins in SeqDance training set.
S0246	We used cutoff of 95% sequence identity together with 95% coverage, 50% sequence identity together with 80% coverage, 20% sequence identity together with 50% coverage.
S0247	(D–F) Relationship between zero-shot performance and the number of homologs (defined as 20% sequence identity and 50% coverage) in training set.
S0248	The line represents a polynomial regression of order two, with the shaded area indicating the 95% CI.
S0249	The x-axis shows the log-scaled number of homologs, with small random noises added to the x values to reduce overlap.
S0250	(G) ESMDance zero-shot prediction performance split by the most similar proteins in ESMDance training set.
S0251	(H and I) Performance of supervised linear regression models on test mutations from 412 proteins.
S0252	For each protein, 50% of the mutations were used to train the regression model, and the remaining 50% were reserved as the test set.
S0253	For SeqDance and ESMDance, the regression models used their 23 predicted dynamic property changes as input; for ESM2, the regression model used predictions from three models (35M, 650M, and 15B) as input; and for SaProt, the zero-shot predictions of SaProt-35M were used as input.
S0254	In this work, we developed SeqDance and ESMDance, two pLMs pretrained with dynamic properties derived from MD simulations and NMA.
S0255	SeqDance captures local dynamic interactions, residue comovement, and global conformational properties after pretrain ing, using only single sequence input and without relying on evo lutionary information.
S0256	ESMDance integrates the evolutionary information encoded in ESM2 and the newly learned dynamic properties, significantly outperforms SeqDance and ESM2-35M in zero-shot prediction of mutation effects for designed and viral proteins.
S0257	In the pretraining process, we did not directly predict full struc ture ensembles due to the immense size of the dataset (over 60 million frames) and the complexity of modeling entire ensembles.
S0258	Instead, we used simplified dynamic property descriptors such as the mean, SD, and interval distribution of ensemble-derived prop erties.
S0259	Prior study has demonstrated that mean values from struc ture ensembles provide significantly more information than those from static structures (48).
S0260	This strategy enables SeqDance and ESMDance to learn from simplified but informative properties of protein dynamics, without the overwhelming computational demand of full ensemble modeling.
S0261	During pretraining, the test losses plateaued early (SI Appendix, Figure S1), but we continued training to enable models to learn dynamic information more effectively from the training set, as the training set was Zero-shot performance on stability mutation scan of 135 designed proteins (no homolog in UniRef50/SeqDance training set) representative and relatively large, and extended training did not result in increased test loss.
S0262	Using attention maps to predict pair wise properties constrains SeqDance to focus on interacting and comoving residue pairs.
S0263	This approach is crucial for learning bio physically meaningful information and improves SeqDance’s abil ity to extrapolate to unseen proteins.
S0264	Our results show that our pretraining strategy enables the transformer’s attentions to effec tively capture pairwise dynamic properties, using only 1/1,000th of the training sequences compared to ESM2.
S0265	In Figures 1 and 2, both SeqDance and ESMDance achieve higher correlations for IDRs compared to ordered structures, likely because our models were trained on more IDR MD trajectories.
S0266	In addition, the dynamics of IDRs are usually localized and easier to learn, whereas the dynamics of ordered structures often involve long-range interactions.
S0267	SeqDance effectively learns global con formational properties of both ordered and disordered proteins (Figure 3), which are essential for understanding protein shape and flexibility.
S0268	In comparison, METL (22) underperforms in predict ing the radius of gyration (Rg ) for ordered proteins (Figure 3D), despite having Rg prediction as a pretraining task.
S0269	ProSE (9) per forms well in predicting the conformational properties of ordered regions but struggles with IDRs (Figure 3), likely because its pre training focused on ordered PDB structures.
S0270	ESM2 performs well on both ordered and disordered proteins, as conformational prop erties are also conserved (41).
S0271	Current methods for zero-shot prediction of mutation effects use evolutionary information and static structure.
S0272	These methods are less effective for proteins without sufficient homologs and structures.
S0273	We applied SeqDance and ESMDance to predict muta tion effects by calculating changes of dynamic properties between wild-type and mutated sequences.
S0274	These results highlight the effectiveness and efficiency of integrating both evolutionary infor mation and dynamic properties for understanding mutation effects, particularly for proteins that cannot be accurately predicted using evolutionary information or static structure.
S0275	While we apply this kind of zero-shot strategy to predict mutation effects on pro tein, analogous approaches like Enformer (49) and Borzoi (50) have been used to predict effect of noncoding mutations in DNA sequences, where evolutionary information is also less effective.
S0276	Our current zero-shot strategy uses changes across the entire pro tein, which is reasonable for predicting mutation effects on protein stability but not optimal for mutation effects on function, binding, or activity, where dynamic changes at functional sites, binding interfaces, or catalytic centers may be more relevant.
S0277	Also, for SeqDance, the presence of highly similar proteins in the train ing set leads to improved performance on mutation effect (Figure 4C).
S0278	Thus, running MD simulations for a protein of interest and using the extracted features to fine-tune SeqDance may yield better predictions, but this may not work for ESMDance (Figure 4G).
S0279	We did not compare our models to classical protein dynamics methods on specific proteins.
S0280	This was a deliberate choice: Our models are not intended as drop-in replacements for existing approaches, but rather as a step toward a paradigm that learns dynamic information with pLMs.
S0281	In our work, all evaluations were performed on proteins shorter than 1,024 residues.
S0282	We envi sion several directions to further improve the models.
S0283	First, expanding protein dynamics data: while high-resolution data remain limited relative to the vast number of sequences, lowerresolution sources, such as coarse-grained MD simulations and NMA, can still provide valuable training signals.
S0284	Second, training models on more detailed dynamic properties that describe higherorder relationships and time-dependent behaviors to capture more nuanced aspects of protein motion.
S0285	Third, employing more advanced model architectures [e.g., the Evoformer in AlphaFold2 (1)] and scaling up model size: as demonstrated in many areas of deep learning, larger models can learn more complex patterns.
S0286	Last, incorporating structural information as additional input may fur ther improve performance on ordered structures and mutation effect on stability.
S0287	In conclusion, SeqDance and ESMDance advance the integration of protein dynamic properties, captured through MD simulations and NMA, into deep learning frameworks.
S0288	By complementing widely used evolutionary and static structure-based models, our models reveal insights into protein behavior and mutation effects, particularly for proteins lacking homologs, such as IDRs, designed and viral proteins.
S0289	This underscores the practical utility of dynamic properties as a critical, yet underexplored, dimension in computa tional protein design and studies, offering a tool to bridge the gap between sequence, dynamics, and function.
S0290	Figure 5.
S0291	Predicting mutation effects for designed and viral proteins.
S0292	(A–D) Performance comparison between ESM2, SaProt (35M parameters), SeqDance (35M parameters), and ESMDance (35M parameters) for 135 designed proteins with no homologs in both UniRef50 and the SeqDance training set.
S0293	Two highlighted proteins are further shown in (E and F).
S0294	(E and F) Structure and the relationship between predictions and ΔΔG values for two designed proteins.
S0295	The kernel density estimate plot shows the distribution of experimentally measured folding ΔΔG values and zero-shot prediction values for the three methods.
S0296	The line represents the linear regression, with the shaded area indicating the 95% CI.
S0297	(G) Relationship between experimental ΔΔG and relative SASA of the mutation site.
S0298	The line represents the linear regression fit.
S0299	(H) The SeqDance/ESMDance zero-shot prediction uses the geometric mean of 23 relative changes in dynamic properties, whereas the SeqDance/ESMDance linear regression model uses a linear combination of the same 23 relative changes.
S0300	For all linear regression models, 50% of mutations were randomly sampled as training set for each protein, and the remaining 50% were used as test, the performances on test mutations were shown here.
S0301	(I and J) Zero-shot performance of ESM2, SaProt, SeqDance, and ESMDance on 23 viral proteins shorter than 1,024 residues in ProteinGYM.
S0302	Model Architecture.
S0303	The models consist of a transformer encoder and the dynamic property prediction heads.
S0304	The transformer encoder uses the ESM2-35M architecture and the same sequence tokenizer.
S0305	It comprises 12 layers with 20 attention heads each and employs rotational positional embeddings, with a final embedding dimension of 480.
S0306	The choice of the 35M model is due to both the relatively small training dataset (compared to hundreds of millions of sequences) and our computational resources.
S0307	Linear layers are added to predict residue-level properties from the residue embeddings of the last transformer layer.
S0308	For pairwise feature prediction, pairwise embeddings are computed from residue embeddings as follows: ⨀ Qj, Qi − Qj ), Pij = concat(Qi [1] ((())) Q = W2 LayerNorm GELU W1 (E), [2] where E represents the final residue embeddings,W1 and W2 are learnable linear matrices. i and j are residue indexes, ⨀ represents element-wise multiplication, The pairwise embeddings Pij, along with attention values from 240 heads, are passed through a linear layer to predict pairwise features.
S0309	The dynamic property prediction heads contain 1.2 million parameters in total.
S0310	Using attention maps and pairwise embeddings allows the model to capture the distinct characteristics of two pairwise properties: the mean value of interaction frequency depends on the sequence length, as the maximum number of interactions a residue can form is constrained, while the mean value of movement correlation is length-independent.
S0311	By combining length-dependent attention values (which sum to one after SoftMax operation in attention calculation) with length-independent pairwise embeddings, the model can capture both types of pairwise properties.
S0312	Different activation functions were used for different properties: For secondary structure and dihedral angles, where the values for each property sum to one, SoftMax functions were used.
S0313	For RMSF, which is normalized to (0,1], Sigmoid functions were applied. (RMSF measures how much each residue tends to move or fluctuate in a structural ensemble.)
S0314	For correlation properties, Tanh functions were used to maintain values within (−1,1).
S0315	For other nonnegative properties, SoftPlus functions were applied (ReLU led to the dead ReLU problem in our experiments).
S0316	Pretraining Procedure.
S0317	Models were implemented and trained using PyTorch (51) (v2.5.1) and the Transformers library (v4.48.2, https://huggingface.co/docs/transformers/index).
S0318	Training was performed with a batch size of 128, parameters were updated every three batches, each from high-resolution data, IDRome, and the NMA dataset.
S0319	Optimization was conducted using the AdamW optimizer, with a peak learning rate of 1 × 10−4, an epsilon value of 1 × 10−8, betas of (0.9, 0.98), and a weight decay of 0.01.
S0320	The learning rate was linearly warmed up over the first 2,000 steps, followed by a linear decay to 1 × 10−5 over 90% of total training steps.
S0321	To mitigate overfitting, a dropout rate of 0.1 was applied in both the transformer encoder and the dynamic property prediction heads.
S0322	SeqDance was trained for 200,000 steps, with a maximum sequence length of 256 for the first 160,000 steps and 1,024 for the remaining 40,000 steps.
S0323	ESMDance was trained for 60,000 steps, using a maximum sequence length of 256 for the first 40,000 steps and 1,024 for the final 20,000 steps.
S0324	ESMDance has fewer trainable parameters, both its training and test losses plateaued earlier (SI Appendix, Figure S1).
S0325	For sequences exceeding the maximum length, a region of the max length was randomly selected, the selected regions were different in each epoch.
S0326	Two models were trained for 10 d using four Nvidia L40s GPUs.
S0327	Due to computational constraints, hyperparameter tuning was not performed, which means the current model configuration may not be the best.
S0328	Adjusting Weights of Dynamic Properties in the Loss Function.
S0329	RMS error (RMSE) was used as the loss function for pretraining.
S0330	For interaction frequencies, some interacting pairs exhibit frequencies close to zero, which are meaningful but treated similarly to zero in RMSE.
S0331	To address this, we applied a cube root transformation to scale up low-frequency interactions.
S0332	The models were pretrained on multiple tasks of varying scales.To balance the losses across tasks, we used the SD of dynamic properties to calculate task-specific weights.The SD of each property for each protein in the training set was computed.
S0333	For multiclass features, such as secondary structures, the losses were calculated for each class and then averaged.
S0334	These values were used to adjust the taskspecific weights.
S0335	Given the higher complexity of pairwise properties compared to residue-level properties, we set the pairwise-to-residue loss ratio to 3:1.
S0336	For NMA data, this ratio was adjusted independently for the three frequency ranges.
S0337	The adjusted losses for SASA, RMSF, secondary structure, and dihedral angles were kept equal.The adjusted losses for the nine interactions were kept equal.The ratio between the summed interaction loss and the comovement loss was set to 3:1.
S0338	The final losses for high-resolution data, IDRome data, and NMA data were further adjusted to be equal.
S0339	The final weights for each property are available at https://huggingface.co/datasets/ChaoHou/protein_dynamic_properties.
S0340	Attention Analysis.
S0341	The attention map and the interaction map are not sym- metric (the interactions have direction), so, the means of the original matrixes and its transposes were used.
S0342	Only residues farther than five amino acids in protein sequence are considered.
S0343	The interaction frequencies of all nine interaction types were summed for analysis.
S0344	Only proteins shorter than 1,024 residues were analyzed.
S0345	Conformational properties asphericity, end-to-end distance (Re), and radius of gyration (Rg) from coarse-grained MD trajectories of over 40,000 IDRs (41) were from 32 to 384 residues in length were included (the sequence cutoff was used because we compared our model with STARLING, which can only generate conformation for sequence no longer than 384), IDRs with over 20% sequence identity and 50% coverage (determined using MMseqs2 (52) search with parameters: -s 7 -a 1) to any SeqDance training sequence were removed, resulting in a final set of 28,717 IDRs.
S0346	Rg values were calculated for monomer PDB structures analyzed in the paper (42) using MDTraj (53), only proteins no longer than 800 were analyzed (the sequence cutoff was used because we compared our model with ESMFold, which runs out of GPU memory when processing long proteins).
S0347	Both Re and Rg were first normalized to account for their inherent dependence on sequence length, as follows: normalized R = where L is the sequence length, and R0 is a prefactor determined by the biochemical properties of the protein, ν is the scaling exponent.
S0348	The ν values for both Re and Rg (for ordered protein and IDR separately) were obtained by fitting a linear regression model between log(R) and log(L).
S0349	For both IDRs and ordered structures, MMseqs2 easy-cluster was used to cluster sequences with the parameters: --min-seq-id 0.2 -c 0.5 --cov-mode 0.
S0350	Sequences from 60% of randomly selected clusters were used as the training set, while the remaining sequences formed the test set.
S0351	SeqDance was compared with METL (METL-G-50M-1D), ESM2 models, and ProSE.The last layer embeddings of SeqDance, METL, and ESM2, and concatenated embeddings of all layers of ProSE (as suggested in their GitHub: https://github.com/tbepler/prose) were used.
S0352	All embeddings were mean-pooled along protein sequences.
S0353	Linear regression (scikit-learn v1.4.1) with default parameters was used to predict conformational properties (asphericity, normalized Re, and normalized Rg), trained separately for the embeddings from each method.The predicted normalized Re and normalized Rg were then multiplied with Lv to get the final prediction.
S0354	Principal component analysis was conducted with scikit-learn.
S0355	STARLING was used to generate structure ensembles of IDRs with default parameters.
S0356	ESMFold (3 billion parameters) was used to predict structure of ordered protein.
S0357	Prediction of Mutation Effects.
S0358	For SeqDance and ESMDance, the dynamic properties of both wild-type and mutated sequences were predicted.
S0359	For property i, the zero-shot score Si is computed as ˛ ˜ ° P MT − P WT ° ° i i ° Si = mean ° °, [4] ° P WT ° ° ° i where PiWT and PiMT represent the predicted values of property i for the wild-type and mutated sequences, respectively.The relative change was computed element-wise.
S0360	For example, in the case of secondary structure with eight classes, the resulting relative change matrix had a shape of L × 8 for a protein of length L, and the mean of absolute values of this matrix was used as the zero-shot score of secondary structure.
S0361	To combine scores from different methods, multiple aggregation strategies were evaluated, including mean, max, weighted mean, and geometric mean, applied to both raw and quantile-normalized scores.
S0362	Quantile normalization ensures that different score distributions are same by aligning their values as mean of raw values of each rank.Weighted mean and geometric mean were calculated as ∑M Si Si Sweighted = ∑i=1, [5] M S i=1 i ˜ M ˛ M1 ° Sgeometric = Si, i=1 where M is the number of all properties.
S0363	All these zero-shot scores are nonnegative.
S0364	To compare them with negative ΔΔG values, the negative of the zero-shot scores was used.
S0365	Various strategies to combine the relative changes of different dynamic properties were tried but no improvement over using individual properties such as mean SASA or dihedral angle psi was observed.
S0366	Users may use these two individual properties for applications.
S0367	SeqDance and ESMDance are not suitable for cross-protein prediction in our experiment, as the effects of dynamic property changes vary between proteins.
S0368	For ESM2 models and SaProt, we followed the method used in ProteinGYM.
S0369	Each residue in a protein was sequentially masked, the model was used to predict the probabilities of 20 amino acids for the masked position.
S0370	For a protein of length L, the model was run L times to obtain the wild-type and mutated residue probabilities at each site.
S0371	The log-likelihood ratio (LLR) was then calculated for each mutation.
S0372	For double mutations, the LLR scores of the two single mutations were summed to approximate the combined effect.
S0373	For ESM2-15B, half-precision (float16) was used, as the model could not be loaded onto a single GPU with 48 GB of memory.
S0374	For SaProt, structure tokens were used as additional input.
S0375	For ProteinMPNN (44) (vanilla_model_weight v_48_020), full-sequence likelihoods were used to infer mutation effects.
S0376	For FoldX (46), the structures were first repaired using the RepairPDB command, and the BuildModel command was then applied to compute ΔΔG values.
S0377	For Rosetta, ΔΔG values were calculated using the RosettaDDGPrediction (45) protocol (Rosetta version 2022.11, cartddg2020_ref2015).
S0378	Because Rosetta is computationally expensive, 100 mutations per protein were randomly sampled for evaluation.
S0379	AlphaFold-predicted protein structures were used as input for these models.
S0380	Mutation Datasets.
S0381	For the evaluation of protein folding stability, the dataset ProteinGYM data and predictions for these mutations were downloaded from its website (https://proteingym.org/) and GitHub in June 2025.
S0382	And Simons Foundation SFARI #1019623.
S0383	We thank Dr.
S0384	Guojie Zhong, Aziz Zafar, and Di Liu for helpful discussions and suggestions. model training, and evaluations are available on GitHub: https://github.com/ShenLab/SeqDance (54).
S0385	Model weights are available at: https://doi.org/10.5281/zenodo.15047777 (55).
S0386	The extracted dynamic properties (approximately 100 GB in total), sequences (including train-test splits), loss weights for different properties, and all other data required to reproduce main results in this paper are available at: https://huggingface.co/datasets/ChaoHou/protein_dynamic_properties (56).
